IDPC3,CX,CY,k3,type2.x,Cut32,Ingrowth23,Growth23,Mortality23,Mortality23_nd,Mortality_ausente23,BAc23,ba_ifn2,sf_nfi,sgdd_nfi,PPplot,PETplot,WAIplot,speimean,speimin
100303A1,262000,4470000,1,Planted,0,0.1540112563197558,0.3532402214422694,0,0,0,0.020128237178749148,1.3818500000000005,14.51852,2031.359,1050,957,9.71786833855799,-0.0540797248000415,-1.71388413508733
10067A1,490000,4774000,1,Planted,0,0,0.021801760498214383,0,0,0,0.002393432231723199,4.409797916666666,0.1111111,3091.041,1028,798,28.8220551378446,-0.384322464209289,-1.8850544989109
100773A1,263000,4468000,1,Planted,0,0.003689749669144014,0.1356360226387675,0.00833722656386243,0.1265818181818182,0,0.009302750229938856,15.182725000000001,14.33333,2044.532,1041,958,8.66388308977035,-0.0540797248000415,-1.71388413508733
100775A1,263000,4467000,1,Planted,0,0,0.20531886837404253,0,0,0,-0.009583700438296644,4.547981250000001,17.74074,1888.251,1112,937,18.6766275346852,-0.0540797248000415,-1.71388413508733
100787A1,262000,4463000,2,Planted,1,0,0.0357934040000209,0,0,0.006667460469956591,0.024179451914915842,26.89750752777778,15.59259,1993.029,1067,956,11.6108786610879,-0.0540797248000415,-1.71388413508733
100813A1,258000,4459000,1,Planted,0,0.08765428809029731,0.2378698500781086,0,0,0,-0.008714355662291033,4.09395,9.962963,2284.944,978,994,-1.60965794768612,-0.0540797248000415,-1.71388413508733
10094A1,493000,4772000,1,Planted,0,0,0.03171640725226958,0.007333461413422567,0.10945069444444447,0,0.020145999204067087,14.924834027777779,0.1851852,2959.439,1016,804,26.3681592039801,-0.384322464209289,-1.8850544989109
10103A1,493000,4771000,2,Planted,1,0,0.01842086443567339,0,0,0.05033216893166478,0.010820083016625147,22.24470763888889,0.4444444,2836.354,1009,807,25.0309789343247,-0.384322464209289,-1.8850544989109
10116A1,501000,4770000,1,Planted,0,0,0.01962068872484947,0,0,0,0.008202976494481711,13.45838788888889,0.5185185,2818.687,1007,816,23.406862745098,-0.234929830097203,-1.98756184180578
10123A1,492000,4769000,2,Natural,1,0,9.45888397917977e-4,0,0,0.10497492757402169,9.458883979179758e-4,19.272495222222222,2,2530.191,987,814,21.2530712530713,-0.384322464209289,-1.8850544989109
10135A1,492000,4768000,1,Planted,0,0,0.017123408710364035,0.0035448218868719353,0.08950069444444445,0,0.01602382016743946,25.248290972222225,1.555556,2619.126,978,817,19.7062423500612,-0.384322464209289,-1.8850544989109
10153A1,492000,4766000,2,Planted,0,0,0.013709214905172126,0,0,0,0.013709214905172134,26.16407222222222,2,2540.54,971,820,18.4146341463415,-0.384322464209289,-1.8850544989109
10154A1,494000,4766000,2,Planted,0,0,0.00795437892673584,0.011341465240606717,0.4038630401234568,0,0.003861241301237769,35.60942361111111,0.8518519,2766.982,969,823,17.7399756986634,-0.384322464209289,-1.8850544989109
10189A1,510000,4763000,2,Planted,1,0,0.012599091712204934,0.021381640246222418,0.5713842592592593,0,0.006822758474177687,26.723125666666668,5.555556,2237.274,971,832,16.7067307692308,-0.234929830097203,-1.98756184180578
10204A1,530000,4770000,1,Planted,1,0,0.038976095306208686,0,0,0,0.003951927574947839,4.972769444444444,4.888889,2215.446,1056,837,26.1648745519713,-0.234929830097203,-1.98756184180578
10219A1,530000,4768000,2,Planted,0,0,0.032867589730839225,0,0,0,0.025621064377582728,21.688766666666666,3,2396.269,1033,845,22.2485207100592,-0.234929830097203,-1.98756184180578
10251A1,523000,4764000,1,Planted,0,0,0.050681907504865925,0,0,0,0.022237982036532433,19.56844513888889,3.592593,2364.075,994,843,17.9122182680902,-0.234929830097203,-1.98756184180578
10283A1,514000,4762000,1,Planted,0,0,0.04123430129446094,0.0035044898633902564,0.07022500000000002,0,0.013790141505393564,20.03857986111111,6.962963,2176.172,982,833,17.8871548619448,-0.234929830097203,-1.98756184180578
10284A1,515000,4762000,2,Planted,1,0,0.03051990473372192,0.006427297343261544,0.16298341049382717,0,0.03051990473372192,25.358000694444446,12.77778,1842.627,1012,818,23.7163814180929,-0.234929830097203,-1.98756184180578
10285A1,516000,4762000,1,Planted,1,0,0.06569435474219655,0,0,0,0.006404316521621009,14.042513888888891,16.51852,1744.725,1022,814,25.5528255528256,-0.234929830097203,-1.98756184180578
10288A1,521000,4762000,2,Planted,1,0,0.044315716617274785,0,0,0,0.03542382422123991,25.692186805555558,7.444444,2116.076,988,840,17.6190476190476,-0.234929830097203,-1.98756184180578
10299A1,483000,4754000,1,Natural,0,0,0.015235834437136657,0.007137773128003534,0.10822500000000002,0,0.009804780707004869,15.162291944444446,9.111111,2024.669,888,827,7.37605804111245,-0.151152223535991,-1.53396608680487
10301A1,481000,4753000,1,Natural,0,0.014295390651945787,0.02396636754438048,0,0,0,8.663391647960735e-4,5.681901388888889,10.37037,1970.524,882,826,6.77966101694915,-0.151152223535991,-1.53396608680487
10302A1,482000,4753000,2,Natural,0,0,0.008044096740840346,0.008784822775233922,0.34090686728395064,0,0.008044096740840346,38.806345444444446,8.296296,2056.634,876,831,5.41516245487365,-0.151152223535991,-1.53396608680487
10303A1,483000,4753000,1,Natural,0,0,0.01475684106775179,0.007350430483898141,0.1541241512345679,0,0.01475684106775179,20.968044194444445,7.851852,2089.77,875,833,5.04201680672269,-0.151152223535991,-1.53396608680487
10304A1,484000,4753000,1,Natural,0,0,0.015274617227257222,0.0038086718539697803,0.06460069444444444,0,0.006419296332798831,16.96147552777778,8.222222,2065.057,877,832,5.40865384615385,-0.151152223535991,-1.53396608680487
10307A1,482000,4752000,2,Natural,0,0,0.019382737342437287,0,0,0,0.012756688631305413,24.30837011111111,7.481481,2107.017,868,833,4.20168067226891,-0.151152223535991,-1.53396608680487
10310A1,481000,4751000,1,Natural,0,0,0.023097619144199152,0,0,0,0.023097619144199152,5.1674626111111115,7.111111,2146.989,861,835,3.11377245508982,-0.151152223535991,-1.53396608680487
10311A1,482000,4751000,2,Natural,0,0,0.02987255956637451,0.002161700578871863,0.063336111111111107,0,0.0142031825626212,29.29920625,6.481481,2197.729,857,837,2.389486260454,-0.151152223535991,-1.53396608680487
10314A1,480000,4750000,1,Natural,0,0,0.026836437319617823,0.00629012972251217,0.07654444444444447,0,0.01986284403133669,12.168977083333335,23.03704,1561.829,927,810,14.4444444444444,-0.151152223535991,-1.53396608680487
10316A1,482000,4750000,1,Natural,0,0,0.008540288193733515,0,0,0,0.0010117992083521572,19.180475694444446,6.62963,2181.416,858,837,2.5089605734767,-0.151152223535991,-1.53396608680487
10320A1,482000,4749000,1,Natural,1,0,0.030555274070994065,0,0,0,0.008149968493781098,18.1472795,7.555556,2124.021,855,837,2.1505376344086,-0.151152223535991,-1.53396608680487
10321A1,483000,4749000,2,Natural,0,0,0.011507337717094864,0.0024126094995068586,0.07066736111111112,0,6.653851760347385e-4,29.290840944444447,5.148148,2283.885,841,844,-0.355450236966825,-0.151152223535991,-1.53396608680487
10325A1,483000,4748000,1,Natural,1,0,0.007146704154638108,0,0,0.04738923796778528,0.0017521590190344338,26.893156333333334,6.555556,2210.832,838,843,-0.593119810201661,-0.151152223535991,-1.53396608680487
10326A1,478000,4747000,1,Natural,0,0,0.011296801986022564,0.005803422373969188,0.11597808641975312,0,0.011296801986022571,19.984429694444444,18.11111,1713.44,883,822,7.42092457420925,-0.151152223535991,-1.53396608680487
10328A1,480000,4747000,2,Natural,0,0.005343436587916357,0.02892601625804633,0.0037888472393545806,0.10377569444444444,0,0.007418070421394561,27.389780555555557,9.962963,1990.223,856,835,2.51497005988024,-0.151152223535991,-1.53396608680487
10330A1,482000,4747000,1,Natural,0,0,0.01742836817876055,0,0,0,0.004317579031414772,11.587915444444445,14.25926,1859.996,871,829,5.06634499396864,-0.151152223535991,-1.53396608680487
10331A1,483000,4747000,1,Natural,0,0,0.02153761135659044,0,0,0,0.007868524486994093,19.041230555555558,9.407407,2027.158,850,838,1.43198090692124,-0.151152223535991,-1.53396608680487
10337A1,483000,4746000,1,Natural,0,0.00644109639050966,0.02687097771278153,0.008340492234560069,0.1089,0,-0.005483597783641061,13.056783333333334,10.77778,1974.925,846,841,0.594530321046373,-0.151152223535991,-1.53396608680487
10338A1,484000,4746000,2,Natural,0,0,0.011936250074650098,0.004098069552073658,0.11446944444444444,0,0.00889816145342228,27.932528472222224,8.518519,2092.714,834,843,-1.06761565836299,-0.151152223535991,-1.53396608680487
10339A1,481000,4745000,2,Natural,0,0,0.029409711559410627,0,0,0,0.016949930168252986,21.49666527777778,8.185185,2114.307,827,846,-2.24586288416076,-0.151152223535991,-1.53396608680487
10341A1,483000,4745000,1,Natural,0,0,0.021426335475619895,0.004553548245375599,0.06375625000000001,0,-0.006280931606620935,14.001443833333333,13.48148,1889.441,848,835,1.55688622754491,-0.151152223535991,-1.53396608680487
10405A1,485000,4753000,1,Natural,1,0,0.011219566152204256,0.005541403455051205,0.10671111111111109,0,0.017686316540632522,19.257055,8.777778,2041.689,882,831,6.13718411552347,-0.151152223535991,-1.53396608680487
10406A1,486000,4753000,1,Natural,0,0,0.007286616231684746,0,0,0,0.0038325731834008597,23.2256,8.925926,2040.407,889,829,7.23763570566948,-0.151152223535991,-1.53396608680487
10407A1,487000,4753000,2,Natural,1,0,0.02860688130398689,0.005423737074216141,0.10926697530864196,0,0.006759270798951525,20.14606788888889,10,1989.176,893,830,7.59036144578313,-0.151152223535991,-1.53396608680487
10417A1,487000,4752000,1,Natural,0,0.01708077209708742,0.06186087497324081,0,0,0,0.005972737220942563,15.395804166666668,8.481481,2051.924,877,835,5.02994011976048,-0.151152223535991,-1.53396608680487
